2023-07-25 23:05:10.042 [DEBU] {70dfa238a1247517521f7901dba41cd6} [ 36 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:28:49.497 [DEBU] {60aab7b8eb2575173807a03ecdd799f2} [  3 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:28:49.499 [DEBU] {5843f9b8eb2575173907a03eb42678fa} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:28:49.500 [DEBU] {402813b9eb2575173a07a03e3faa0d1a} [  0 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:28:49.502 [DEBU] {b0031db9eb2575173b07a03e113d751a} [  2 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:28:49.503 [DEBU] {e87b3fb9eb2575173c07a03e30c2c728} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:28:49.505 [DEBU] {a8974ab9eb2575173d07a03e272f6b9e} [  2 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:28:49.506 [DEBU] {28876cb9eb2575173e07a03ea6c2166a} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:33:47.512 [DEBU] {9071861b31267517963c156851dad6d3} [  8 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:33:47.518 [DEBU] {0891391c31267517973c156807927fbe} [  2 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:33:47.521 [DEBU] {5052801c31267517983c1568251de763} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:33:47.526 [DEBU] {c8a2991c31267517993c1568194daa32} [  4 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:33:47.527 [DEBU] {2819d71c312675179a3c1568d68f56b8} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:33:47.530 [DEBU] {3070eb1c312675179b3c1568f4fe6866} [  3 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:33:47.531 [DEBU] {10ea1d1d312675179c3c1568df45da72} [  0 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-07-25 23:42:46.549 [DEBU] {2002d09cae2675173e155869bb632f59} [  5 ms] [default] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-07-25 23:42:46.552 [DEBU] {00203b9dae2675173f155869fe8ddfaf} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='wangzhongyang' LIMIT 1
2023-07-25 23:42:46.555 [DEBU] {f860619dae267517401558697d73e24c} [  1 ms] [default] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `id`='3' LIMIT 1
2023-07-25 23:42:46.558 [DEBU] {583e799dae267517411558694a7d07d6} [  3 ms] [default] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-07-25 23:42:46.560 [DEBU] {703db79dae267517421558699831e012} [  1 ms] [default] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-07-25 23:42:46.563 [DEBU] {c076ce9dae267517431558696c732ee5} [  2 ms] [default] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-07-25 23:42:46.565 [DEBU] {e85b029eae26751744155869ae8d9a79} [  1 ms] [default] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
